Name,StudyHours,Attendance,Result,ResultNumeric,TotalMarks
Student_316,6.96,71.93,Pass,1,100.0
Student_317,4.09,68.67,Pass,1,65.42
Student_318,1.73,53.41,Fail,0,36.85
Student_319,1.56,82.34,Pass,1,62.6
Student_320,2.5,51.45,Pass,1,54.82
Student_321,5.49,73.17,Pass,1,84.47
Student_322,7.15,55.19,Pass,1,98.66
Student_323,6.6,97.34,Pass,1,100.0
Student_324,2.8,41.72,Pass,1,42.89
Student_325,9.55,51.98,Pass,1,100.0
Student_326,7.38,54.54,Pass,1,100.0
Student_327,5.54,64.84,Pass,1,77.01
Student_328,6.12,53.96,Pass,1,83.98
Student_329,4.2,69.48,Pass,1,73.67
Student_330,2.48,92.35,Pass,1,78.78
Student_331,3.56,82.72,Pass,1,84.45
Student_332,7.58,74.8,Pass,1,100.0
Student_333,0.14,45.34,Fail,0,33.92
Student_334,1.16,81.64,Pass,1,69.37
Student_335,0.46,49.98,Fail,0,34.0
Student_336,0.41,87.18,Pass,1,59.51
Student_337,8.55,55.0,Pass,1,98.45
Student_338,7.04,65.02,Pass,1,95.43
Student_339,4.74,61.03,Pass,1,73.65
Student_340,0.98,91.53,Pass,1,66.74
Student_341,4.92,47.59,Pass,1,73.94
Student_342,4.73,73.94,Pass,1,81.66
Student_343,1.73,48.52,Pass,1,50.62
Student_344,4.34,82.29,Pass,1,91.74
Student_345,3.99,94.3,Pass,1,92.73
Student_346,6.16,66.08,Pass,1,86.35
Student_347,6.35,69.29,Pass,1,89.31
Student_348,0.45,95.65,Pass,1,56.93
Student_349,3.75,71.26,Pass,1,77.5
Student_350,6.26,69.26,Pass,1,85.58
Student_351,5.03,74.7,Pass,1,88.44
Student_352,8.56,81.35,Pass,1,100.0
Student_353,6.59,46.41,Pass,1,84.68
Student_354,1.63,89.27,Pass,1,66.69
Student_355,0.71,66.13,Pass,1,52.03
Student_356,6.42,44.34,Pass,1,83.67
Student_357,0.27,87.17,Pass,1,61.64
Student_358,5.86,62.62,Pass,1,91.76
Student_359,9.4,46.02,Pass,1,100.0
Student_360,5.75,78.03,Pass,1,87.02
Student_361,3.88,92.81,Pass,1,81.46
Student_362,6.43,93.27,Pass,1,96.97
Student_363,4.58,97.46,Pass,1,89.7
Student_364,5.46,92.06,Pass,1,99.26
Student_365,9.41,40.13,Pass,1,96.56
Student_366,3.86,62.81,Pass,1,67.67
Student_367,9.61,89.11,Pass,1,100.0
Student_368,9.05,61.98,Pass,1,100.0
Student_369,1.96,76.09,Pass,1,55.72
Student_370,0.69,76.38,Pass,1,51.08
Student_371,1.01,61.9,Pass,1,40.73
Student_372,0.18,94.27,Pass,1,56.65
Student_373,0.94,70.19,Pass,1,56.35
Student_374,6.83,67.89,Pass,1,94.02
Student_375,0.71,99.85,Pass,1,74.44
Student_376,3.19,69.61,Pass,1,74.44
Student_377,8.45,50.7,Pass,1,95.12
Student_378,0.23,70.78,Fail,0,38.75
Student_379,8.14,88.84,Pass,1,100.0
Student_380,2.82,86.61,Pass,1,80.29
Student_381,1.18,87.31,Pass,1,59.38
Student_382,6.97,82.48,Pass,1,100.0
Student_383,6.29,55.25,Pass,1,89.51
Student_384,8.77,91.73,Pass,1,100.0
Student_385,7.35,93.61,Pass,1,100.0
Student_386,8.03,51.65,Pass,1,98.79
Student_387,2.82,47.83,Pass,1,52.02
Student_388,1.77,98.54,Pass,1,69.85
Student_389,7.51,92.1,Pass,1,100.0
Student_390,8.07,93.59,Pass,1,100.0
Student_391,9.91,93.18,Pass,1,100.0
Student_392,4.13,72.5,Pass,1,80.37
Student_393,3.72,78.78,Pass,1,74.63
Student_394,7.76,72.72,Pass,1,91.79
Student_395,3.41,43.07,Pass,1,53.0
Student_396,9.31,84.73,Pass,1,100.0
Student_397,8.58,70.32,Pass,1,100.0
Student_398,4.29,78.86,Pass,1,78.71
Student_399,7.51,70.16,Pass,1,96.69
Student_400,7.55,69.51,Pass,1,100.0
Student_401,1.03,50.31,Fail,0,35.12
Student_402,9.03,56.72,Pass,1,100.0
Student_403,5.05,49.53,Pass,1,72.67
Student_404,8.26,51.74,Pass,1,91.92
Student_405,3.2,98.38,Pass,1,77.34
Student_406,8.96,49.19,Pass,1,100.0
Student_407,3.89,56.16,Pass,1,67.71
Student_408,0.11,75.44,Pass,1,44.82
Student_409,9.05,76.61,Pass,1,100.0
Student_410,0.91,49.24,Fail,0,39.35
Student_411,3.19,87.62,Pass,1,82.96
Student_412,9.5,87.11,Pass,1,100.0
Student_413,9.51,54.24,Pass,1,100.0
Student_414,5.73,57.32,Pass,1,77.7
Student_415,6.32,96.28,Pass,1,100.0
Student_416,4.48,89.54,Pass,1,90.37
Student_417,2.93,81.87,Pass,1,72.53
Student_418,3.29,44.93,Pass,1,56.96
Student_419,6.73,65.1,Pass,1,95.34
Student_420,7.52,73.56,Pass,1,96.76
Student_421,7.92,51.24,Pass,1,87.31
Student_422,7.9,66.89,Pass,1,100.0
Student_423,0.91,76.06,Pass,1,62.06
Student_424,4.94,59.64,Pass,1,71.05
Student_425,0.58,86.86,Pass,1,55.71
Student_426,5.5,90.43,Pass,1,95.58
Student_427,4.42,59.42,Pass,1,68.24
Student_428,8.88,90.32,Pass,1,100.0
Student_429,3.51,46.21,Pass,1,62.81
Student_430,1.17,90.26,Pass,1,65.8
Student_431,1.43,49.17,Fail,0,36.92
Student_432,7.62,44.98,Pass,1,100.0
Student_433,6.18,78.51,Pass,1,96.94
Student_434,1.01,68.32,Pass,1,46.19
Student_435,0.84,94.47,Pass,1,70.46
Student_436,7.01,61.79,Pass,1,90.81
Student_437,0.73,57.23,Pass,1,48.49
Student_438,8.22,70.04,Pass,1,100.0
Student_439,7.06,67.36,Pass,1,100.0
Student_440,0.81,60.67,Pass,1,43.89
Student_441,0.85,81.62,Pass,1,62.23
Student_442,9.87,85.57,Pass,1,100.0
Student_443,3.74,91.18,Pass,1,78.96
Student_444,3.71,98.37,Pass,1,95.08
Student_445,8.13,56.0,Pass,1,91.6
Student_446,9.47,82.97,Pass,1,100.0
Student_447,9.86,63.66,Pass,1,100.0
Student_448,7.53,80.62,Pass,1,100.0
Student_449,3.76,68.56,Pass,1,71.38
Student_450,0.84,99.63,Pass,1,65.66
Student_451,7.77,83.73,Pass,1,100.0
Student_452,5.58,97.15,Pass,1,100.0
Student_453,4.24,90.1,Pass,1,91.32
Student_454,9.06,94.17,Pass,1,100.0
Student_455,1.11,88.87,Pass,1,71.3
Student_456,4.93,67.55,Pass,1,79.86
Student_457,0.11,55.11,Fail,0,31.34
Student_458,4.69,62.22,Pass,1,77.92
Student_459,0.56,41.21,Fail,0,23.48
Student_460,1.19,71.44,Pass,1,48.99
Student_461,1.18,70.3,Pass,1,56.62
Student_462,6.49,71.52,Pass,1,94.21
Student_463,7.46,98.44,Pass,1,100.0
Student_464,5.83,94.69,Pass,1,96.0
Student_465,9.62,49.7,Pass,1,100.0
Student_466,3.75,62.13,Pass,1,72.99
Student_467,2.86,65.44,Pass,1,67.79
Student_468,8.69,61.63,Pass,1,100.0
Student_469,2.24,87.91,Pass,1,80.71
Student_470,9.63,71.44,Pass,1,100.0
Student_471,0.12,74.33,Pass,1,44.87
Student_472,9.7,91.18,Pass,1,100.0
Student_473,0.43,88.36,Pass,1,54.22
Student_474,8.91,47.93,Pass,1,100.0
Student_475,5.28,82.83,Pass,1,99.76
Student_476,9.93,66.13,Pass,1,100.0
Student_477,0.74,57.68,Pass,1,42.84
Student_478,5.54,43.0,Pass,1,75.35
Student_479,9.69,69.23,Pass,1,100.0
Student_480,5.23,61.33,Pass,1,67.22
Student_481,6.29,55.09,Pass,1,84.61
Student_482,6.96,81.68,Pass,1,100.0
Student_483,4.55,86.17,Pass,1,83.36
Student_484,6.28,54.69,Pass,1,81.78
Student_485,5.84,42.97,Pass,1,66.72
Student_486,9.01,90.93,Pass,1,100.0
Student_487,0.45,40.6,Fail,0,33.1
Student_488,2.81,96.23,Pass,1,80.2
Student_489,9.5,77.66,Pass,1,100.0
Student_490,8.9,59.31,Pass,1,100.0
Student_491,4.56,54.79,Pass,1,67.58
Student_492,6.2,40.54,Pass,1,73.51
Student_493,2.77,54.13,Pass,1,57.47
Student_494,1.88,48.26,Pass,1,48.83
Student_495,4.64,76.73,Pass,1,84.77
Student_496,3.53,49.99,Pass,1,63.76
Student_497,5.84,71.72,Pass,1,88.27
Student_498,0.78,75.41,Pass,1,46.5
Student_499,9.74,57.88,Pass,1,100.0
Student_500,9.86,42.1,Pass,1,100.0
Student_501,6.98,42.24,Pass,1,75.18
Student_502,5.36,41.58,Pass,1,61.14
Student_503,3.1,84.35,Pass,1,77.65
Student_504,8.14,59.08,Pass,1,98.54
Student_505,6.85,87.78,Pass,1,100.0
Student_506,1.63,65.9,Pass,1,50.78
Student_507,9.11,67.18,Pass,1,100.0
Student_508,8.23,70.77,Pass,1,100.0
Student_509,9.5,82.78,Pass,1,100.0
Student_510,7.26,56.41,Pass,1,89.26
Student_511,6.13,47.3,Pass,1,81.67
Student_512,4.18,73.36,Pass,1,80.47
Student_513,9.33,59.62,Pass,1,100.0
Student_514,8.66,66.55,Pass,1,100.0
Student_515,0.45,78.82,Pass,1,47.48
Student_516,0.26,69.65,Pass,1,41.29
Student_517,3.76,77.22,Pass,1,77.8
Student_518,8.11,72.65,Pass,1,100.0
Student_519,9.87,84.39,Pass,1,100.0
Student_520,1.5,82.36,Pass,1,56.29
Student_521,5.94,72.05,Pass,1,90.21
Student_522,3.81,80.73,Pass,1,84.08
Student_523,9.7,92.41,Pass,1,100.0
Student_524,8.42,65.94,Pass,1,100.0
Student_525,8.38,64.77,Pass,1,100.0
Student_526,4.69,85.85,Pass,1,85.36
Student_527,4.15,74.95,Pass,1,70.17
Student_528,2.73,44.26,Pass,1,51.93
Student_529,0.56,93.53,Pass,1,59.74
Student_530,8.65,41.85,Pass,1,95.16
Student_531,8.13,84.9,Pass,1,100.0
Student_532,10.0,85.53,Pass,1,100.0
Student_533,9.97,97.19,Pass,1,100.0
Student_534,5.55,43.25,Pass,1,69.85
Student_535,7.69,75.81,Pass,1,100.0
Student_536,9.45,65.67,Pass,1,100.0
Student_537,8.5,59.84,Pass,1,100.0
Student_538,2.47,45.42,Pass,1,40.19
Student_539,4.51,73.76,Pass,1,81.24
Student_540,1.29,68.74,Pass,1,42.7
Student_541,9.54,46.27,Pass,1,94.1
Student_542,6.06,76.75,Pass,1,95.02
Student_543,2.29,84.28,Pass,1,69.76
Student_544,6.72,86.04,Pass,1,100.0
Student_545,6.18,94.32,Pass,1,100.0
Student_546,3.58,64.57,Pass,1,66.63
Student_547,1.14,97.18,Pass,1,62.68
Student_548,6.72,91.93,Pass,1,100.0
Student_549,5.2,57.79,Pass,1,80.92
Student_550,7.72,49.56,Pass,1,85.26
Student_551,5.2,66.12,Pass,1,81.46
Student_552,8.52,64.11,Pass,1,100.0
Student_553,5.52,74.54,Pass,1,87.16
Student_554,5.61,75.0,Pass,1,93.74
Student_555,8.77,85.0,Pass,1,100.0
Student_556,4.03,70.59,Pass,1,73.64
Student_557,1.34,46.29,Fail,0,37.09
Student_558,0.29,91.5,Pass,1,64.71
Student_559,7.55,58.59,Pass,1,100.0
Student_560,6.2,98.28,Pass,1,100.0
Student_561,7.04,47.07,Pass,1,76.42
Student_562,2.13,97.5,Pass,1,77.26
Student_563,1.36,45.46,Pass,1,41.65
Student_564,0.15,53.86,Fail,0,19.74
Student_565,3.51,42.79,Pass,1,55.01
Student_566,5.9,82.31,Pass,1,94.5
Student_567,3.92,91.02,Pass,1,84.87
Student_568,4.37,66.04,Pass,1,70.05
Student_569,9.04,95.71,Pass,1,100.0
Student_570,3.48,75.42,Pass,1,80.05
Student_571,5.14,77.8,Pass,1,85.57
Student_572,7.84,90.73,Pass,1,100.0
Student_573,3.97,57.81,Pass,1,62.41
Student_574,6.22,61.26,Pass,1,90.31
Student_575,8.62,94.36,Pass,1,100.0
Student_576,9.5,94.06,Pass,1,100.0
Student_577,1.47,98.59,Pass,1,70.95
Student_578,9.27,94.11,Pass,1,100.0
Student_579,4.92,47.64,Pass,1,55.11
Student_580,2.58,89.42,Pass,1,67.19
Student_581,4.59,64.59,Pass,1,77.56
Student_582,9.8,99.45,Pass,1,100.0
Student_583,4.93,68.34,Pass,1,77.79
Student_584,3.29,73.23,Pass,1,69.99
Student_585,6.33,71.79,Pass,1,89.57
Student_586,2.4,59.3,Pass,1,51.32
Student_587,0.76,44.5,Fail,0,34.14
Student_588,1.29,93.74,Pass,1,71.61
Student_589,1.28,88.16,Pass,1,58.34
Student_590,1.52,48.37,Fail,0,38.31
Student_591,1.39,86.61,Pass,1,59.43
Student_592,6.41,77.55,Pass,1,85.7
Student_593,1.82,64.55,Pass,1,54.0
Student_594,3.46,55.24,Pass,1,65.5
Student_595,8.97,91.58,Pass,1,100.0
Student_596,4.74,82.01,Pass,1,82.77
Student_597,6.68,72.86,Pass,1,90.9
Student_598,1.72,76.57,Pass,1,59.81
Student_599,1.92,45.46,Pass,1,46.78
Student_600,0.41,68.44,Pass,1,45.12
Student_601,1.69,51.62,Pass,1,45.94
Student_602,2.79,52.5,Pass,1,59.53
Student_603,1.77,79.68,Pass,1,58.27
Student_604,0.89,94.68,Pass,1,62.83
Student_605,1.21,64.23,Pass,1,56.39
